epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,2473.71,1.41154,1.43768,1.99396,0.01175,0.73854,0.5829,0.64731,0.66708,0.37197,0.60872,0.66306,0.6735,0.38258,1.42327,1.2592,2.31177,0.01678,0,0.000676802,0.000676802,0.000676802
62,2512.94,1.40686,1.57044,2.09858,0.01107,0.78189,0.61478,0.66631,0.67798,0.39155,0.62842,0.68112,0.69032,0.39637,1.32246,1.24048,2.28516,0.01615,0,0.000660299,0.000660299,0.000660299
63,2551.67,1.37503,1.33542,1.88627,0.00998,0.70603,0.62372,0.67211,0.69388,0.41125,0.63115,0.67115,0.70061,0.40665,1.31198,1.22231,2.24908,0.01635,0,0.000643795,0.000643795,0.000643795
64,2591.39,1.23798,1.40301,1.8405,0.00881,0.73566,0.64144,0.61064,0.69182,0.4066,0.64317,0.61285,0.68738,0.40195,1.35371,1.22345,2.16809,0.01786,0,0.000627292,0.000627292,0.000627292
65,2630.34,1.35911,1.42123,1.97244,0.00977,0.78167,0.63195,0.60203,0.68908,0.41617,0.62979,0.60003,0.68276,0.40504,1.28706,1.22362,2.12007,0.01622,0,0.000610789,0.000610789,0.000610789
66,2669.52,1.32239,1.45099,1.86143,0.01012,0.64629,0.62437,0.66527,0.67873,0.4248,0.63219,0.64284,0.66997,0.39339,1.23333,1.24885,2.12163,0.01501,0,0.000594286,0.000594286,0.000594286
67,2709.75,1.27607,1.41621,1.77916,0.0095,0.71441,0.64266,0.64361,0.68658,0.43294,0.66831,0.61712,0.67284,0.39031,1.26086,1.27252,2.0685,0.01428,0,0.000577782,0.000577782,0.000577782
68,2749.07,1.20769,1.31417,1.79642,0.00883,0.70484,0.70515,0.60316,0.70886,0.45806,0.70098,0.59895,0.68926,0.39466,1.25329,1.28868,2.02666,0.01445,0,0.000561279,0.000561279,0.000561279
69,2789.02,1.27202,1.40181,1.72257,0.0095,0.60437,0.72159,0.61398,0.72057,0.46689,0.726,0.61819,0.70553,0.40006,1.25308,1.3098,2.00138,0.01489,0,0.000544776,0.000544776,0.000544776
70,2829.08,1.29555,1.5422,1.78913,0.01019,0.59804,0.64805,0.66327,0.71848,0.45782,0.64623,0.669,0.69458,0.40258,1.26689,1.32215,1.97221,0.01525,0,0.000528272,0.000528272,0.000528272
71,2870.62,1.29455,1.36837,1.81945,0.00982,0.60994,0.63896,0.67163,0.71083,0.43803,0.62891,0.66101,0.68313,0.39414,1.30248,1.30682,1.97721,0.01498,0,0.000511769,0.000511769,0.000511769
72,2910.84,1.19799,1.40155,1.72382,0.00822,0.69657,0.70056,0.65907,0.73093,0.44895,0.70344,0.64426,0.6988,0.40737,1.3533,1.28689,1.91631,0.01577,0,0.000495266,0.000495266,0.000495266
73,2950.95,1.26545,1.53905,1.80241,0.01021,0.63639,0.73833,0.65288,0.74348,0.46595,0.71768,0.62507,0.71151,0.42273,1.2867,1.28734,1.93019,0.01539,0,0.000478762,0.000478762,0.000478762
74,2991.13,1.2596,1.36556,1.80224,0.00905,0.72181,0.69399,0.67855,0.75048,0.5097,0.67079,0.65088,0.72253,0.44204,1.22651,1.27213,1.78988,0.01442,0,0.000462259,0.000462259,0.000462259
75,3034.93,1.29417,1.42302,1.65787,0.00839,0.72506,0.68826,0.6887,0.74976,0.50415,0.65457,0.66128,0.72289,0.44205,1.21359,1.27513,1.81352,0.0138,0,0.000445756,0.000445756,0.000445756
76,3075.59,1.2534,1.32606,1.77205,0.00969,0.67936,0.7133,0.67388,0.7691,0.5083,0.70595,0.66548,0.75646,0.44452,1.25689,1.2484,1.74127,0.01418,0,0.000429253,0.000429253,0.000429253
77,3114.54,1.17394,1.31735,1.57423,0.01012,0.59926,0.74113,0.66509,0.77399,0.52149,0.72151,0.66968,0.76586,0.44764,1.22429,1.23539,1.70581,0.01385,0,0.000412749,0.000412749,0.000412749
78,3153.82,1.2058,1.30227,1.69624,0.00877,0.61236,0.70013,0.64507,0.78021,0.52973,0.72148,0.64604,0.7666,0.46267,1.19577,1.23112,1.6191,0.01327,0,0.000396246,0.000396246,0.000396246
79,3191.99,1.22554,1.38066,1.70524,0.00887,0.57069,0.73846,0.63985,0.77631,0.52584,0.74337,0.64405,0.76519,0.46387,1.20191,1.20689,1.61577,0.01329,0,0.000379743,0.000379743,0.000379743
80,3231.17,1.2168,1.50165,1.65615,0.00934,0.61521,0.69133,0.70123,0.77846,0.53113,0.70214,0.70296,0.76247,0.46037,1.19761,1.20962,1.64243,0.01335,0,0.000363239,0.000363239,0.000363239
81,3270.06,1.12114,1.42524,1.58255,0.00815,0.62506,0.70271,0.70814,0.78017,0.53854,0.71859,0.70346,0.76276,0.45684,1.16492,1.2009,1.64266,0.01319,0,0.000346736,0.000346736,0.000346736
82,3309.62,1.13588,1.23342,1.59197,0.00989,0.55452,0.7273,0.70836,0.78444,0.55623,0.72801,0.71477,0.76914,0.47242,1.09786,1.21503,1.59702,0.01255,0,0.000330233,0.000330233,0.000330233
83,3347.73,1.23014,1.54643,1.69462,0.00893,0.58819,0.70853,0.7533,0.78363,0.55602,0.70777,0.758,0.7702,0.47667,1.07052,1.20692,1.60785,0.01245,0,0.000313729,0.000313729,0.000313729
84,3385.24,1.16374,1.25674,1.63482,0.00948,0.61337,0.70866,0.74743,0.77228,0.55281,0.69251,0.7528,0.76135,0.47281,1.05609,1.20588,1.58817,0.01263,0,0.000297226,0.000297226,0.000297226
85,3422.87,1.21829,1.17439,1.63459,0.00928,0.57873,0.67307,0.73292,0.76384,0.54816,0.6703,0.73982,0.75333,0.46926,1.04318,1.21023,1.60179,0.01261,0,0.000280723,0.000280723,0.000280723
86,3460.59,1.15536,1.45273,1.56578,0.00799,0.56692,0.65013,0.73126,0.76169,0.54974,0.64943,0.73234,0.74725,0.46731,1.04595,1.20922,1.60133,0.01231,0,0.00026422,0.00026422,0.00026422
87,3498.39,1.10716,1.26684,1.45272,0.00779,0.46023,0.63991,0.74559,0.76663,0.55286,0.64702,0.7356,0.75251,0.46651,1.0525,1.19824,1.59622,0.01228,0,0.000247716,0.000247716,0.000247716
88,3536.08,1.13516,1.29598,1.42722,0.00801,0.51631,0.64705,0.78065,0.77138,0.55776,0.64705,0.78065,0.75566,0.47339,1.03743,1.18677,1.59141,0.01217,0,0.000231213,0.000231213,0.000231213
89,3574.19,1.10768,1.19923,1.49002,0.0086,0.53713,0.64815,0.77645,0.7793,0.56342,0.65013,0.77645,0.7652,0.48811,1.03685,1.17764,1.56683,0.01201,0,0.00021471,0.00021471,0.00021471
90,3612.68,1.12003,1.35537,1.45811,0.00767,0.54,0.67286,0.752,0.79202,0.58259,0.68187,0.76562,0.7838,0.50073,1.00632,1.1646,1.52986,0.0116,0,0.000198206,0.000198206,0.000198206
91,3649.63,1.15032,1.20724,1.86023,0.01417,0.47936,0.69475,0.7214,0.79626,0.58057,0.68803,0.74435,0.78818,0.50128,0.99954,1.15678,1.51033,0.01133,0,0.000181703,0.000181703,0.000181703
92,3686.45,1.09236,1.08978,1.65284,0.01347,0.43769,0.71607,0.67251,0.79204,0.56395,0.67241,0.75921,0.78117,0.50029,1.03234,1.14192,1.49134,0.01186,0,0.0001652,0.0001652,0.0001652
93,3723.08,1.15485,1.121,1.64118,0.01447,0.45488,0.68843,0.71876,0.78993,0.55828,0.69408,0.72517,0.78056,0.50075,1.05166,1.13122,1.49275,0.01246,0,0.000148696,0.000148696,0.000148696
94,3759.45,1.03018,1.0098,1.6426,0.01267,0.40279,0.67574,0.76026,0.79151,0.55091,0.68571,0.76926,0.78319,0.50557,1.09569,1.12117,1.48998,0.01382,0,0.000132193,0.000132193,0.000132193
95,3796.02,1.12272,1.14602,1.63611,0.01425,0.4916,0.68714,0.73777,0.78771,0.54539,0.70674,0.759,0.78781,0.51025,1.11074,1.10796,1.49396,0.01414,0,0.00011569,0.00011569,0.00011569
96,3833.05,1.08731,1.06496,1.55676,0.01341,0.4129,0.72987,0.72914,0.79326,0.55534,0.73735,0.74494,0.79228,0.51618,1.09674,1.10446,1.48283,0.01384,0,9.91865e-05,9.91865e-05,9.91865e-05
97,3869.26,1.08601,1.11815,1.58602,0.0125,0.41502,0.7403,0.70872,0.79453,0.55848,0.72153,0.74197,0.79387,0.51792,1.083,1.10366,1.47793,0.01347,0,8.26832e-05,8.26832e-05,8.26832e-05
98,3906.03,1.13859,1.05806,1.67395,0.01421,0.43669,0.7166,0.73357,0.79736,0.57022,0.71872,0.75259,0.79656,0.5184,1.06044,1.10311,1.45576,0.01274,0,6.61799e-05,6.61799e-05,6.61799e-05
99,3942.62,1.09812,0.98879,1.56504,0.0139,0.39557,0.71908,0.73777,0.79965,0.579,0.72315,0.759,0.79841,0.5232,1.05112,1.10333,1.44403,0.01249,0,4.96766e-05,4.96766e-05,4.96766e-05
100,3979.37,1.05003,1.05535,1.54149,0.0123,0.38368,0.71352,0.74838,0.80159,0.58763,0.71815,0.759,0.79854,0.52406,1.02327,1.11119,1.43997,0.01203,0,3.31733e-05,3.31733e-05,3.31733e-05
