epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,7236.98,1.02371,0.96403,0.00699,0.86179,0.82387,0.89366,0.68568,0.90784,0.72232,0.01018,0.00021471,0.00021471,0.00021471
90,7318.27,0.94145,0.87874,0.00688,0.84577,0.80861,0.89233,0.68811,0.88083,0.6987,0.0102,0.000198206,0.000198206,0.000198206
91,7397.94,0.92637,0.81043,0.01105,0.83856,0.79503,0.8877,0.67742,0.90383,0.72341,0.01077,0.000181703,0.000181703,0.000181703
92,7477.7,0.92633,0.77092,0.01098,0.86911,0.79028,0.89601,0.68301,0.87063,0.76502,0.0103,0.0001652,0.0001652,0.0001652
93,7557.27,0.92276,0.7594,0.01091,0.8906,0.74838,0.89458,0.68986,0.83819,0.7974,0.01003,0.000148696,0.000148696,0.000148696
94,7636.87,0.90953,0.74438,0.01052,0.83602,0.80916,0.89428,0.69204,0.87463,0.75279,0.01035,0.000132193,0.000132193,0.000132193
95,7716.38,0.86956,0.73578,0.01,0.88867,0.82715,0.90182,0.69392,0.86513,0.72046,0.01012,0.00011569,0.00011569,0.00011569
96,7796.53,0.86452,0.73105,0.00995,0.89561,0.80815,0.90267,0.69243,0.84537,0.73147,0.00987,9.91865e-05,9.91865e-05,9.91865e-05
97,7876.36,0.85242,0.71533,0.00969,0.92775,0.78488,0.9049,0.69957,0.85648,0.7418,0.0102,8.26832e-05,8.26832e-05,8.26832e-05
98,7956.09,0.86052,0.7625,0.0104,0.91148,0.79675,0.90284,0.69454,0.84429,0.75975,0.01006,6.61799e-05,6.61799e-05,6.61799e-05
99,8035.56,0.86738,0.7376,0.01039,0.91297,0.79667,0.90385,0.69688,0.84212,0.75329,0.01002,4.96766e-05,4.96766e-05,4.96766e-05
100,8115.25,0.86312,0.71795,0.00981,0.92174,0.81695,0.90723,0.69399,0.84548,0.74518,0.01003,3.31733e-05,3.31733e-05,3.31733e-05
