epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,2068.44,1.42527,1.20336,3.15523,0.01596,0.51262,0.64261,0.72495,0.68341,0.34691,0.76611,0.67033,0.71981,0.35965,1.5446,1.37567,3.48141,0.02215,0,0.00132593,0.00132593,0.00132593
64,2095.98,1.38665,1.22432,3.00767,0.01487,0.55789,0.64657,0.6618,0.65177,0.32476,0.66628,0.68789,0.66568,0.32689,1.58621,1.41788,3.95525,0.02236,0,0.00132043,0.00132043,0.00132043
65,2123.75,1.42874,1.29409,3.20876,0.01549,0.5039,0.73954,0.6866,0.69422,0.37119,0.78783,0.71908,0.74086,0.36958,1.6051,1.47872,4.04555,0.02362,0,0.00131493,0.00131493,0.00131493
66,2151.72,1.37872,1.25273,3.11644,0.01521,0.54695,0.71832,0.67232,0.69338,0.38096,0.77672,0.69785,0.72625,0.3763,1.60972,1.38537,3.71316,0.02334,0,0.00130943,0.00130943,0.00130943
67,2179.58,1.39129,1.27116,3.06411,0.01574,0.52833,0.63385,0.71676,0.68084,0.38054,0.65257,0.7402,0.71143,0.38641,1.52873,1.34315,3.32242,0.02274,0,0.00130393,0.00130393,0.00130393
68,2207.42,1.34657,1.28883,2.96985,0.01467,0.54357,0.68899,0.67631,0.67553,0.36301,0.73314,0.71897,0.72037,0.36196,1.5553,1.42648,3.74287,0.02207,0,0.00129843,0.00129843,0.00129843
69,2235.18,1.37658,1.28805,2.95543,0.01498,0.54149,0.75074,0.65189,0.66812,0.35959,0.79783,0.69376,0.72094,0.37202,1.55017,1.40368,3.61277,0.02333,0,0.00129293,0.00129293,0.00129293
70,2262.86,1.36516,1.23536,3.08689,0.01399,0.52642,0.75573,0.66413,0.71748,0.37613,0.75394,0.68978,0.73067,0.39352,1.50146,1.40209,4.04988,0.0197,0,0.00128742,0.00128742,0.00128742
71,2290.52,1.36457,1.26442,3.21195,0.0148,0.58697,0.76954,0.66964,0.71029,0.37918,0.7944,0.69263,0.74354,0.38105,1.62623,1.43246,3.43544,0.02438,0,0.00128192,0.00128192,0.00128192
72,2318.36,1.32529,1.30983,3.00523,0.01349,0.51327,0.72562,0.71303,0.70007,0.37059,0.73349,0.71278,0.69105,0.3434,1.57828,1.45739,3.48881,0.02133,0,0.00127642,0.00127642,0.00127642
73,2346.14,1.33041,1.23305,2.88129,0.01387,0.49297,0.7912,0.67904,0.73547,0.3888,0.81058,0.7152,0.74131,0.39846,1.50077,1.36845,3.44366,0.02032,0,0.00127092,0.00127092,0.00127092
74,2373.72,1.31571,1.18329,2.91769,0.01419,0.50342,0.77192,0.69624,0.743,0.39257,0.8037,0.6699,0.73356,0.36131,1.5439,1.41848,3.48941,0.02153,0,0.00126542,0.00126542,0.00126542
