experiment,kind,members,threshold,eligible_events,recalled_events,event_recall,excluded_event_hits,detector_images,detector_image_hits,eligible_detector_image_hits,detector_image_hit_rate,wall_seconds,mean_inference_ms
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.25,104,96,0.9230769230769231,19,429,168,146,0.3916083916083916,67.32675560000098,131.92128181823446
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.3,104,95,0.9134615384615384,18,429,162,141,0.3776223776223776,67.32675560000098,131.92128181823446
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.4,104,92,0.8846153846153846,14,429,147,132,0.34265734265734266,67.32675560000098,131.92128181823446
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.5,104,89,0.8557692307692307,11,429,135,124,0.3146853146853147,67.32675560000098,131.92128181823446
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.6,104,83,0.7980769230769231,8,429,118,110,0.27505827505827507,67.32675560000098,131.92128181823446
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.01,104,103,0.9903846153846154,44,429,251,193,0.585081585081585,26.39730720000034,42.96964055947471
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.05,104,99,0.9519230769230769,26,429,203,171,0.4731934731934732,26.39730720000034,42.96964055947471
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.1,104,98,0.9423076923076923,21,429,186,162,0.43356643356643354,26.39730720000034,42.96964055947471
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.15,104,98,0.9423076923076923,19,429,178,156,0.4149184149184149,26.39730720000034,42.96964055947471
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.2,104,94,0.9038461538461539,14,429,164,147,0.3822843822843823,26.39730720000034,42.96964055947471
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.25,104,92,0.8846153846153846,14,429,159,142,0.3706293706293706,26.39730720000034,42.96964055947471
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.3,104,91,0.875,14,429,153,136,0.35664335664335667,26.39730720000034,42.96964055947471
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.4,104,85,0.8173076923076923,13,429,140,124,0.32634032634032634,26.39730720000034,42.96964055947471
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.5,104,82,0.7884615384615384,12,429,125,112,0.2913752913752914,26.39730720000034,42.96964055947471
ensemble@512,model_ensemble,baseline@512+c2psa@512,0.6,104,75,0.7211538461538461,11,429,111,99,0.25874125874125875,26.39730720000034,42.96964055947471
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.01,104,103,0.9903846153846154,42,429,271,209,0.6317016317016317,35.61891639999976,66.19364522146387
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.05,104,100,0.9615384615384616,32,429,213,175,0.4965034965034965,35.61891639999976,66.19364522146387
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.1,104,100,0.9615384615384616,26,429,198,168,0.46153846153846156,35.61891639999976,66.19364522146387
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.15,104,99,0.9519230769230769,22,429,181,157,0.4219114219114219,35.61891639999976,66.19364522146387
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.2,104,99,0.9519230769230769,19,429,176,155,0.41025641025641024,35.61891639999976,66.19364522146387
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.25,104,99,0.9519230769230769,16,429,169,151,0.3939393939393939,35.61891639999976,66.19364522146387
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.3,104,96,0.9230769230769231,13,429,156,141,0.36363636363636365,35.61891639999976,66.19364522146387
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.4,104,89,0.8557692307692307,10,429,137,126,0.31934731934731936,35.61891639999976,66.19364522146387
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.5,104,82,0.7884615384615384,9,429,122,113,0.28438228438228436,35.61891639999976,66.19364522146387
ensemble@640,model_ensemble,baseline@640+c2psa@640,0.6,104,76,0.7307692307692307,8,429,109,101,0.2540792540792541,35.61891639999976,66.19364522146387
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.01,104,103,0.9903846153846154,52,429,288,213,0.6713286713286714,50.20969780000041,96.70544568767278
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.05,104,101,0.9711538461538461,36,429,237,195,0.5524475524475524,50.20969780000041,96.70544568767278
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.1,104,99,0.9519230769230769,29,429,213,180,0.4965034965034965,50.20969780000041,96.70544568767278
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.15,104,98,0.9423076923076923,27,429,196,167,0.4568764568764569,50.20969780000041,96.70544568767278
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.2,104,96,0.9230769230769231,22,429,182,158,0.42424242424242425,50.20969780000041,96.70544568767278
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.25,104,96,0.9230769230769231,19,429,173,152,0.40326340326340326,50.20969780000041,96.70544568767278
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.3,104,94,0.9038461538461539,18,429,166,146,0.38694638694638694,50.20969780000041,96.70544568767278
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.4,104,90,0.8653846153846154,16,429,148,130,0.34498834498834496,50.20969780000041,96.70544568767278
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.5,104,83,0.7980769230769231,13,429,133,118,0.31002331002331,50.20969780000041,96.70544568767278
ensemble@768,model_ensemble,baseline@768+c2psa@768,0.6,104,77,0.7403846153846154,9,429,115,105,0.2680652680652681,50.20969780000041,96.70544568767278
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.01,104,103,0.9903846153846154,54,429,315,225,0.7342657342657343,112.22592140000052,205.86873146861134
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.05,104,102,0.9807692307692307,44,429,259,201,0.6037296037296037,112.22592140000052,205.86873146861134
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.1,104,101,0.9711538461538461,36,429,233,190,0.5431235431235432,112.22592140000052,205.86873146861134
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.15,104,100,0.9615384615384616,34,429,217,179,0.5058275058275058,112.22592140000052,205.86873146861134
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.2,104,100,0.9615384615384616,29,429,204,172,0.4755244755244755,112.22592140000052,205.86873146861134
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.25,104,100,0.9615384615384616,24,429,192,165,0.44755244755244755,112.22592140000052,205.86873146861134
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.3,104,100,0.9615384615384616,23,429,186,160,0.43356643356643354,112.22592140000052,205.86873146861134
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.4,104,99,0.9519230769230769,19,429,173,151,0.40326340326340326,112.22592140000052,205.86873146861134
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.5,104,98,0.9423076923076923,15,429,161,144,0.3752913752913753,112.22592140000052,205.86873146861134
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+c2psa@512+c2psa@640+c2psa@768,0.6,104,95,0.9134615384615384,11,429,147,134,0.34265734265734266,112.22592140000052,205.86873146861134
